"","genenames"
"302","RPS6KA1"
"303","RP5-968P14.2"
"304","ARID1A"
"305","PIGV"
"306","ZDHHC18"
"307","SFN"
"308","GPN2"
"309","GPATCH3"
"310","NUDC"
"311","KDF1"
"312","TRNP1"
"313","SLC9A1"
"314","WDTC1"
"315","TMEM222"
"316","SYTL1"
"317","MAP3K6"
"318","WASF2"
"319","RP1-159A19.4"
"320","AHDC1"
"321","FGR"
"322","IFI6"
"323","FAM76A"
"324","STX12"
"325","PPP1R8"
"326","THEMIS2"
"327","RPA2"
"328","SMPDL3B"
"329","XKR8"
"330","EYA3"
"331","PTAFR"
"332","DNAJC8"
"333","ATPIF1"
"334","RP5-1092A3.4"
"335","SESN2"
"336","MED18"
"337","PHACTR4"
"338","RCC1"
"339","TRNAU1AP"
"340","SNHG12"
"341","TAF12"
"342","RP11-442N24--B.1"
"343","RNU11"
"344","GMEB1"
"345","YTHDF2"
"346","EPB41"
"347","SRSF4"
"348","MECR"
"349","MATN1-AS1"
"350","LAPTM5"
"351","SDC3"
"352","PUM1"
"353","SNRNP40"
"354","ZCCHC17"
"355","RP11-266K22.2"
"356","SERINC2"
"357","LINC01226"
"358","PEF1"
"359","ADGRB2"
"360","RP11-84A19.4"
"361","PTP4A2"
"362","KHDRBS1"
"363","RP11-277A4.4"
"364","TMEM39B"
"365","KPNA6"
"366","TXLNA"
"367","CCDC28B"
"368","RP4-622L5.7"
"369","IQCC"
"370","TMEM234"
"371","EIF3I"
"372","FAM167B"
"373","LCK"
"374","HDAC1"
"375","MARCKSL1"
"376","FAM229A"
"377","BSDC1"
"378","ZBTB8B"
"379","ZBTB8A"
"380","ZBTB8OS"
"381","RBBP4"
"382","SYNC"
"383","KIAA1522"
"384","YARS"
"385","S100PBP"
"386","RNF19B"
"387","AK2"
"388","AZIN2"
"389","TRIM62"
"390","ZNF362"
"391","PHC2"
"392","ZSCAN20"
"393","SMIM12"
"394","DLGAP3"
"395","RP11-244H3.4"
"396","ZMYM6"
"397","ZMYM1"
"398","SFPQ"
"399","ZMYM4"
"400","KIAA0319L"
"401","NCDN"
"402","RP4-728D4.2"
"403","TFAP2E"
"404","PSMB2"
"405","C1orf216"
"406","CLSPN"
"407","AGO4"
"408","AGO1"
"409","AGO3"
"410","ADPRHL2"
"411","COL8A2"
"412","TRAPPC3"
"413","MAP7D1"
"414","THRAP3"
"415","SH3D21"
"416","EVA1B"
"417","RP11-268J15.5"
"418","STK40"
"419","LSM10"
"420","OSCP1"
"421","MRPS15"
"422","CSF3R"
"423","LINC01137"
"424","ZC3H12A"
"425","MEAF6"
"426","SNIP1"
"427","GNL2"
"428","C1orf109"
"429","CDCA8"
"430","MANEAL"
"431","YRDC"
"432","C1orf122"
"433","MTF1"
"434","INPP5B"
"435","SF3A3"
"436","FHL3"
"437","UTP11L"
"438","RRAGC"
"439","RP5-864K19.4"
