"","genenames"
"3166","CMSS1"
"3167","FILIP1L"
"3168","TBC1D23"
"3169","NIT2"
"3170","TOMM70A"
"3171","LNP1"
"3172","TMEM45A"
"3173","TFG"
"3174","IMPG2"
"3175","SENP7"
"3176","TRMT10C"
"3177","PCNP"
"3178","ZBTB11"
"3179","ZBTB11-AS1"
"3180","RPL24"
"3181","CEP97"
"3182","NXPE3"
"3183","NFKBIZ"
"3184","RP11-221J22.2"
"3185","ALCAM"
"3186","CBLB"
"3187","DUBR"
"3188","BBX"
"3189","CD47"
"3190","LINC01215"
"3191","IFT57"
"3192","KIAA1524"
"3193","DZIP3"
"3194","TRAT1"
"3195","DPPA4"
"3196","PVRL3"
"3197","CD96"
"3198","PLCXD2"
"3199","PHLDB2"
"3200","ABHD10"
"3201","C3orf52"
"3202","GCSAM"
"3203","CD200"
"3204","BTLA"
"3205","ATG3"
"3206","SLC35A5"
"3207","CD200R1"
"3208","GTPBP8"
"3209","C3orf17"
"3210","CFAP44"
"3211","SPICE1"
"3212","SIDT1"
"3213","SIDT1-AS1"
"3214","USF3"
"3215","NAA50"
"3216","ATP6V1A"
"3217","GRAMD1C"
"3218","ZDHHC23"
"3219","CCDC191"
"3220","QTRTD1"
"3221","RP11-553L6.2"
"3222","ZNF80"
"3223","TIGIT"
"3224","RP11-553L6.5"
"3225","ZBTB20"
"3226","ZBTB20-AS2"
"3227","ZBTB20-AS4"
"3228","UPK1B"
"3229","B4GALT4"
"3230","ARHGAP31"
"3231","TMEM39A"
"3232","POGLUT1"
"3233","RP11-190C22.8"
"3234","TIMMDC1"
"3235","ADPRH"
"3236","POPDC2"
"3237","COX17"
"3238","NR1I2"
"3239","GSK3B"
"3240","RP11-18H7.1"
"3241","LRRC58"
"3242","FSTL1"
"3243","NDUFB4"
"3244","HGD"
"3245","RABL3"
"3246","GTF2E1"
"3247","POLQ"
"3248","HCLS1"
"3249","GOLGB1"
"3250","IQCB1"
"3251","EAF2"
"3252","SLC15A2"
"3253","ILDR1"
"3254","CD86"
"3255","CSTA"
"3256","CCDC58"
"3257","FAM162A"
"3258","WDR5B"
"3259","RP11-299J3.8"
"3260","KPNA1"
"3261","PARP9"
"3262","DTX3L"
"3263","PARP15"
"3264","PARP14"
"3265","HSPBAP1"
"3266","DIRC2"
"3267","RP11-67L2.2"
"3268","PDIA5"
"3269","SEC22A"
"3270","HACD2"
"3271","MYLK-AS1"
"3272","MYLK"
"3273","CCDC14"
"3274","KALRN"
"3275","UMPS"
"3276","ITGB5"
"3277","HEG1"
"3278","ZNF148"
"3279","SNX4"
"3280","OSBPL11"
"3281","RP11-666A20.4"
"3282","ALG1L"
"3283","SLC41A3"
"3284","ZXDC"
"3285","CHST13"
"3286","TXNRD3"
"3287","CHCHD6"
"3288","PLXNA1"
"3289","TPRA1"
"3290","MCM2"
"3291","PODXL2"
"3292","ABTB1"
"3293","MGLL"
"3294","KBTBD12"
"3295","SEC61A1"
"3296","RUVBL1"
"3297","EEFSEC"
"3298","GATA2"
"3299","GATA2-AS1"
"3300","RPN1"
"3301","RAB7A"
"3302","RP11-723O4.9"
"3303","ACAD9"
"3304","KIAA1257"
"3305","EFCC1"
"3306","GP9"
"3307","RP11-434H6.6"
"3308","ISY1"
"3309","RP11-434H6.7"
"3310","CNBP"
"3311","COPG1"
"3312","HMCES"
"3313","H1FX"
"3314","H1FX-AS1"
"3315","EFCAB12"
"3316","MBD4"
"3317","IFT122"
"3318","PLXND1"
"3319","TMCC1"
"3320","TMCC1-AS1"
"3321","TRH"
"3322","ALG1L2"
"3323","RP11-77P16.4"
"3324","COL6A6"
"3325","PIK3R4"
"3326","ATP2C1"
"3327","ASTE1"
"3328","NEK11"
"3329","NUDT16"
"3330","MRPL3"
"3331","RP11-517B11.4"
"3332","ACPP"
"3333","DNAJC13"
"3334","ACAD11"
"3335","UBA5"
"3336","NPHP3"
"3337","BFSP2"
"3338","BFSP2-AS1"
"3339","CDV3"
"3340","TOPBP1"
"3341","SRPRB"
"3342","RAB6B"
"3343","RYK"
"3344","ANAPC13"
"3345","CEP63"
"3346","EPHB1"
"3347","PPP2R3A"
"3348","MSL2"
"3349","PCCB"
"3350","STAG1"
"3351","RP11-102M11.2"
"3352","SLC35G2"
"3353","RP11-731C17.2"
"3354","NCK1-AS1"
"3355","NCK1"
"3356","IL20RB"
"3357","DBR1"
"3358","ARMC8"
"3359","MRAS"
"3360","ESYT3"
"3361","CEP70"
"3362","FAIM"
"3363","PIK3CB"
"3364","MRPS22"
"3365","RP11-219D15.3"
"3366","COPB2"
"3367","RP11-319G6.1"
"3368","NMNAT3"
"3369","SLC25A36"
"3370","PXYLP1"
"3371","ZBTB38"
"3372","RASA2"
"3373","RNF7"
"3374","ATP1B3"
"3375","TFDP2"
"3376","GK5"
"3377","XRN1"
"3378","ATR"
"3379","PLS1"
"3380","TRPC1"
"3381","PAQR9"
"3382","PAQR9-AS1"
"3383","U2SURP"
"3384","RP11-91G21.1"
"3385","CHST2"
"3386","SLC9A9"
"3387","C3orf58"
"3388","PLOD2"
"3389","PLSCR4"
"3390","PLSCR2"
"3391","PLSCR1"
"3392","CPB1"
"3393","CPA3"
"3394","GYG1"
"3395","HLTF"
"3396","HPS3"
"3397","CP"
"3398","TM4SF1"
"3399","WWTR1"
"3400","COMMD2"
"3401","RNF13"
"3402","PFN2"
"3403","TSC22D2"
"3404","SERP1"
"3405","EIF2A"
"3406","SELT"
"3407","ERICH6-AS1"
"3408","SIAH2"
"3409","MED12L"
"3410","GPR171"
"3411","P2RY14"
"3412","P2RY13"
"3413","IGSF10"
"3414","SUCNR1"
"3415","RP11-246A10.1"
"3416","MBNL1"
"3417","MBNL1-AS1"
"3418","P2RY1"
"3419","RAP2B"
"3420","ARHGEF26"
"3421","DHX36"
"3422","MME"
"3423","C3orf33"
"3424","SLC33A1"
"3425","GMPS"
"3426","RP11-305K5.1"
"3427","SSR3"
"3428","TIPARP-AS1"
"3429","TIPARP"
"3430","LINC00886"
"3431","LEKR1"
"3432","LINC00880"
"3433","CCNL1"
"3434","PTX3"
"3435","RSRC1"
"3436","RP11-538P18.2"
"3437","MLF1"
"3438","GFM1"
"3439","LXN"
"3440","RP11-379F4.6"
"3441","RARRES1"
"3442","MFSD1"
"3443","RP11-379F4.4"
"3444","RP11-379F4.9"
"3445","SCHIP1"
"3446","IL12A-AS1"
"3447","IL12A"
"3448","C3orf80"
"3449","IFT80"
"3450","SMC4"
"3451","TRIM59"
"3452","KPNA4"
"3453","RP11-16N11.2"
"3454","PPM1L"
"3455","B3GALNT1"
"3456","NMD3"
"3457","SPTSSB"
"3458","RP11-3P17.4"
"3459","RP11-3P17.5"
"3460","SERPINI2"
"3461","WDR49"
"3462","PDCD10"
"3463","SERPINI1"
"3464","GOLIM4"
"3465","MECOM"
"3466","TERC"
"3467","RP11-816J6.3"
"3468","MYNN"
"3469","RP11-362K14.5"
"3470","LRRC34"
"3471","RP11-362K14.6"
"3472","SEC62"
"3473","SEC62-AS1"
"3474","GPR160"
"3475","PHC3"
"3476","RP11-379K17.12"
"3477","PRKCI"
"3478","SKIL"
"3479","RPL22L1"
"3480","EIF5A2"
"3481","TNIK"
"3482","PLD1"
"3483","FNDC3B"
"3484","TNFSF10"
"3485","NCEH1"
"3486","ECT2"
"3487","NLGN1"
"3488","NAALADL2"
"3489","LINC01209"
"3490","TBL1XR1"
"3491","ZMAT3"
"3492","PIK3CA"
"3493","KCNMB3"
"3494","ZNF639"
"3495","MFN1"
"3496","GNB4"
"3497","AC007620.3"
"3498","ACTL6A"
"3499","MRPL47"
"3500","NDUFB5"
"3501","USP13"
"3502","TTC14"
"3503","FXR1"
"3504","DNAJC19"
"3505","ATP11B"
"3506","RP11-531F16.4"
"3507","DCUN1D1"
"3508","MCCC1"
"3509","MCF2L2"
"3510","B3GNT5"
"3511","KLHL6"
"3512","KLHL24"
"3513","YEATS2"
"3514","MAP6D1"
"3515","PARL"
"3516","ABCC5"
"3517","RP11-778D9.12"
"3518","EIF2B5"
"3519","DVL3"
"3520","AP2M1"
"3521","ABCF3"
"3522","ALG3"
"3523","ECE2"
"3524","PSMD2"
"3525","EIF4G1"
"3526","FAM131A"
"3527","CLCN2"
"3528","POLR2H"
"3529","EPHB3"
"3530","MAGEF1"
"3531","VPS8"
"3532","EHHADH"
"3533","MAP3K13"
"3534","TMEM41A"
"3535","SENP2"
"3536","IGF2BP2"
"3537","TRA2B"
"3538","ETV5"
"3539","DGKG"
"3540","CRYGS"
"3541","TBCCD1"
"3542","DNAJB11"
"3543","RP11-573D15.8"
"3544","RP11-573D15.9"
"3545","EIF4A2"
"3546","RFC4"
"3547","RP11-573D15.2"
"3548","ST6GAL1"
"3549","RPL39L"
"3550","RTP4"
"3551","BCL6"
"3552","LPP-AS2"
"3553","LPP"
"3554","TPRG1-AS1"
"3555","TPRG1"
"3556","P3H2"
"3557","IL1RAP"
"3558","OSTN-AS1"
"3559","CCDC50"
"3560","MB21D2"
"3561","ATP13A4"
"3562","OPA1"
"3563","HES1"
"3564","LINC00887"
"3565","GP5"
"3566","ATP13A3"
"3567","LINC00884"
"3568","TMEM44-AS1"
"3569","TMEM44"
"3570","LSG1"
"3571","FAM43A"
"3572","XXYLT1"
"3573","XXYLT1-AS2"
"3574","ACAP2"
"3575","PPP1R2"
"3576","AC069513.4"
"3577","LINC00969"
"3578","MUC20"
"3579","TNK2"
"3580","AC124944.3"
"3581","RP11-480A16.1"
"3582","TFRC"
"3583","ZDHHC19"
"3584","SLC51A"
"3585","PCYT1A"
"3586","TCTEX1D2"
"3587","TM4SF19-AS1"
"3588","TM4SF19"
"3589","UBXN7"
"3590","RNF168"
"3591","WDR53"
"3592","FBXO45"
"3593","LINC01063"
"3594","NRROS"
"3595","PIGX"
"3596","CEP19"
"3597","PAK2"
"3598","SENP5"
"3599","NCBP2"
"3600","NCBP2-AS2"
"3601","PIGZ"
"3602","MFI2"
"3603","MFI2-AS1"
"3604","DLG1"
"3605","RP13-616I3.1"
"3606","BDH1"
"3607","RUBCN"
"3608","FYTTD1"
"3609","RP11-803P9.1"
"3610","LRCH3"
"3611","IQCG"
"3612","RPL35A"
"3613","LMLN"
"3614","ZNF595"
"3615","ZNF718"
"3616","ZNF141"
"3617","ZNF721"
"3618","PIGG"
"3619","PDE6B"
"3620","RP11-1191J2.5"
"3621","ATP5I"
"3622","MYL5"
"3623","MFSD7"
"3624","PCGF3"
"3625","RP11-440L14.4"
"3626","RP11-440L14.1"
"3627","CPLX1"
"3628","GAK"
"3629","TMEM175"
"3630","DGKQ"
"3631","SLC26A1"
"3632","IDUA"
"3633","FGFRL1"
"3634","RNF212"
"3635","AC092535.3"
"3636","SPON2"
"3637","CTBP1-AS"
"3638","CTBP1"
"3639","CTBP1-AS2"
"3640","MAEA"
"3641","UVSSA"
"3642","CRIPAK"
"3643","RP11-1398P2.1"
"3644","FAM53A"
"3645","SLBP"
"3646","RP11-572O17.1"
"3647","TMEM129"
"3648","TACC3"
"3649","FGFR3"
"3650","LETM1"
"3651","WHSC1"
"3652","NELFA"
"3653","C4orf48"
"3654","NAT8L"
"3655","POLN"
"3656","HAUS3"
"3657","MXD4"
"3658","ZFYVE28"
"3659","RNF4"
"3660","FAM193A"
"3661","TNIP2"
"3662","SH3BP2"
"3663","ADD1"
"3664","MFSD10"
"3665","NOP14-AS1"
"3666","NOP14"
"3667","GRK4"
"3668","HTT"
"3669","MSANTD1"
"3670","RGS12"
"3671","DOK7"
"3672","LRPAP1"
"3673","TMEM128"
"3674","LYAR"
"3675","ZBTB49"
"3676","NSG1"
"3677","STX18"
"3678","STX18-AS1"
"3679","CYTL1"
"3680","STK32B"
"3681","EVC2"
"3682","JAKMIP1"
"3683","WFS1"
"3684","MAN2B2"
"3685","MRFAP1"
"3686","RP11-539L10.3"
"3687","AC093323.3"
"3688","RP11-539L10.2"
"3689","S100P"
"3690","MRFAP1L1"
"3691","BLOC1S4"
"3692","KIAA0232"
"3693","TBC1D14"
"3694","CCDC96"
"3695","TADA2B"
"3696","GRPEL1"
"3697","RP11-367J11.3"
"3698","AFAP1"
"3699","ABLIM2"
"3700","SH3TC1"
"3701","HTRA3"
"3702","RP11-774O3.3"
"3703","ACOX3"
"3704","TRMT44"
"3705","SLC2A9"
"3706","WDR1"
"3707","ZNF518B"
"3708","CLNK"
"3709","HS3ST1"
"3710","RAB28"
"3711","BOD1L1"
"3712","LINC00504"
"3713","CPEB2"
"3714","RP11-665G4.1"
"3715","CC2D2A"
"3716","RP11-799M12.2"
"3717","FBXL5"
"3718","FAM200B"
"3719","BST1"
"3720","CD38"
"3721","FGFBP2"
"3722","PROM1"
"3723","TAPT1"
"3724","TAPT1-AS1"
"3725","LDB2"
"3726","QDPR"
"3727","LAP3"
"3728","MED28"
"3729","FAM184B"
"3730","DCAF16"
"3731","NCAPG"
"3732","LCORL"
"3733","PACRGL"
"3734","ADGRA3"
"3735","DHX15"
"3736","CCDC149"
"3737","SEPSECS"
"3738","SEPSECS-AS1"
"3739","PI4K2B"
"3740","ZCCHC4"
"3741","ANAPC4"
"3742","SEL1L3"
"3743","SMIM20"
"3744","RBPJ"
"3745","TBC1D19"
"3746","STIM2"
"3747","RP11-293A21.1"
"3748","ARAP2"
"3749","RP11-431M7.3"
"3750","DTHD1"
"3751","RELL1"
"3752","PGM2"
"3753","TBC1D1"
"3754","PTTG2"
"3755","KLF3"
"3756","TLR10"
"3757","TLR1"
"3758","TLR6"
"3759","FAM114A1"
"3760","TMEM156"
"3761","KLHL5"
"3762","WDR19"
"3763","RFC1"
"3764","KLB"
"3765","RPL9"
"3766","LIAS"
"3767","UGDH"
"3768","SMIM14"
"3769","UBE2K"
"3770","PDS5A"
"3771","N4BP2"
"3772","RHOH"
"3773","RBM47"
"3774","NSUN7"
"3775","APBB2"
"3776","UCHL1"
"3777","LIMCH1"
"3778","TMEM33"
"3779","DCAF4L1"
"3780","SLC30A9"
"3781","BEND4"
"3782","ATP8A1"
"3783","GUF1"
"3784","GNPDA2"
"3785","RP11-700J17.2"
"3786","COMMD8"
"3787","ATP10D"
"3788","RP11-121C2.2"
"3789","NFXL1"
"3790","NIPAL1"
"3791","TXK"
"3792","TEC"
"3793","SLAIN2"
"3794","FRYL"
"3795","OCIAD1"
"3796","OCIAD2"
"3797","DCUN1D4"
"3798","RP11-365H22.2"
"3799","SGCB"
"3800","USP46"
"3801","USP46-AS1"
"3802","SCFD2"
"3803","FIP1L1"
"3804","LNX1"
"3805","RP11-571I18.4"
"3806","CHIC2"
"3807","KIT"
"3808","SRD5A3"
"3809","TMEM165"
"3810","CLOCK"
"3811","NMU"
"3812","EXOC1"
"3813","CEP135"
"3814","KIAA1211"
"3815","AASDH"
"3816","RP11-646I6.5"
"3817","PPAT"
"3818","PAICS"
"3819","SRP72"
"3820","ARL9"
"3821","HOPX"
"3822","SPINK2"
"3823","REST"
"3824","NOA1"
"3825","POLR2B"
"3826","IGFBP7"
"3827","RP11-798L4.1"
"3828","RP11-584P21.2"
"3829","CENPC"
"3830","STAP1"
"3831","UBA6"
"3832","UBA6-AS1"
"3833","YTHDC1"
"3834","UGT2B17"
"3835","SULT1B1"
"3836","ENAM"
"3837","JCHAIN"
"3838","UTP3"
"3839","RP11-46J23.1"
"3840","RUFY3"
"3841","GRSF1"
"3842","MOB1B"
"3843","DCK"
"3844","SLC4A4"
"3845","ADAMTS3"
"3846","COX18"
"3847","ANKRD17"
"3848","RP11-692D12.1"
"3849","RASSF6"
"3850","CXCL8"
"3851","CXCL1"
"3852","PF4"
"3853","PPBP"
"3854","CXCL5"
"3855","CXCL3"
"3856","CXCL2"
"3857","MTHFD2L"
"3858","RP11-629B11.5"
"3859","EREG"
"3860","AREG"
"3861","PARM1"
"3862","RP11-44F21.5"
"3863","RCHY1"
"3864","THAP6"
"3865","G3BP2"
"3866","USO1"
"3867","RP11-556N4.1"
"3868","NAAA"
"3869","SDAD1"
"3870","CXCL10"
"3871","NUP54"
"3872","SCARB2"
"3873","FAM47E"
"3874","SEPT11"
"3875","CCNI"
"3876","CCNG2"
"3877","CNOT6L"
"3878","MRPL1"
"3879","ANXA3"
"3880","LINC01094"
"3881","RP11-109G23.3"
"3882","BMP2K"
"3883","PAQR3"
"3884","LINC01088"
"3885","ANTXR2"
"3886","PRDM8"
"3887","PRKG2"
"3888","RASGEF1B"
"3889","RP11-127B20.2"
"3890","HNRNPD"
"3891","RP11-127B20.3"
"3892","HNRNPDL"
"3893","ENOPH1"
"3894","TMEM150C"
"3895","SCD5"
"3896","SEC31A"
"3897","THAP9-AS1"
"3898","THAP9"
"3899","LIN54"
"3900","COPS4"
"3901","PLAC8"
"3902","COQ2"
"3903","HPSE"
"3904","HELQ"
"3905","MRPS18C"
"3906","FAM175A"
"3907","GPAT3"
"3908","CDS1"
"3909","WDFY3"
"3910","ARHGAP24"
"3911","PTPN13"
"3912","C4orf36"
"3913","AFF1"
"3914","KLHL8"
"3915","HSD17B13"
"3916","HSD17B11"
"3917","NUDT9"
"3918","PKD2"
"3919","ABCG2"
"3920","PPM1K"
"3921","HERC6"
"3922","HERC5"
"3923","PYURF"
"3924","HERC3"
"3925","NAP1L5"
"3926","FAM13A-AS1"
"3927","FAM13A"
"3928","TIGD2"
"3929","GPRIN3"
"3930","SNCA"
"3931","MMRN1"
"3932","CCSER1"
"3933","SMARCAD1"
"3934","HPGDS"
"3935","PDLIM5"
"3936","RAP1GDS1"
"3937","TSPAN5"
"3938","EIF4E"
"3939","METAP1"
"3940","RP11-571L19.8"
"3941","ADH5"
"3942","RP11-696N14.1"
"3943","TRMT10A"
"3944","DAPP1"
"3945","LAMTOR3"
"3946","DNAJB14"
"3947","H2AFZ"
"3948","EMCN"
"3949","PPP3CA"
"3950","FLJ20021"
"3951","BANK1"
"3952","SLC39A8"
"3953","RP11-499E18.1"
"3954","AF213884.2"
"3955","NFKB1"
"3956","MANBA"
"3957","UBE2D3"
"3958","RP11-10L12.4"
"3959","CISD2"
"3960","SLC9B1"
"3961","SLC9B2"
"3962","BDH2"
"3963","CENPE"
"3964","AC004069.2"
"3965","TET2"
"3966","PPA2"
"3967","INTS12"
"3968","GSTCD"
"3969","RP11-710F7.3"
"3970","TBCK"
"3971","AIMP1"
"3972","PAPSS1"
"3973","SGMS2"
"3974","RP11-286E11.1"
"3975","CYP2U1"
"3976","RP11-286E11.2"
"3977","HADH"
"3978","LEF1"
"3979","RPL34-AS1"
"3980","RPL34"
"3981","OSTC"
"3982","SEC24B-AS1"
"3983","SEC24B"
"3984","CCDC109B"
"3985","CASP6"
"3986","AC004067.5"
"3987","PLA2G12A"
"3988","RP11-602N24.3"
"3989","GAR1"
"3990","ELOVL6"
"3991","C4orf32"
"3992","RP11-73K9.2"
"3993","AP1AR"
"3994","TIFA"
"3995","ALPK1"
"3996","ZGRF1"
"3997","LARP7"
"3998","CAMK2D"
"3999","UGT8"
"4000","SNHG8"
"4001","RP11-384K6.8"
"4002","METTL14"
"4003","SEC24D"
"4004","SYNPO2"
"4005","USP53"
"4006","C4orf3"
"4007","PDE5A"
"4008","MAD2L1"
"4009","RP11-679C8.2"
"4010","TNIP3"
"4011","ANXA5"
"4012","EXOSC9"
"4013","CCNA2"
"4014","BBS7"
"4015","KIAA1109"
"4016","IL2"
"4017","BBS12"
"4018","NUDT6"
"4019","SPATA5"
"4020","SPRY1"
"4021","ANKRD50"
"4022","INTU"
"4023","HSPA4L"
"4024","PLK4"
"4025","MFSD8"
"4026","ABHD18"
"4027","LARP1B"
"4028","PGRMC2"
"4029","RP11-420A23.1"
"4030","JADE1"
"4031","SCLT1"
"4032","C4orf33"
"4033","RP11-745L13.2"
"4034","SLC7A11"
"4035","RP11-98O2.1"
"4036","NOCT"
"4037","ELF2"
"4038","MGARP"
"4039","NDUFC1"
"4040","NAA15"
"4041","RP11-83A24.2"
"4042","RAB33B"
"4043","SETD7"
"4044","RP11-342I1.2"
"4045","MGST2"
"4046","MAML3"
"4047","SCOC"
"4048","SCOC-AS1"
"4049","CLGN"
"4050","ELMOD2"
"4051","TBC1D9"
"4052","RP11-102N12.3"
"4053","RNF150"
"4054","ZNF330"
"4055","RP11-362F19.1"
"4056","RP11-362F19.3"
"4057","IL15"
"4058","INPP4B"
"4059","RP11-223C24.1"
"4060","USP38"
"4061","GAB1"
"4062","SMARCA5"
"4063","GYPE"
"4064","GYPB"
"4065","GYPA"
"4066","HHIP-AS1"
"4067","ANAPC10"
"4068","ABCE1"
"4069","OTUD4"
"4070","SMAD1"
"4071","MMAA"
"4072","ZNF827"
"4073","LSM6"
"4074","SLC10A7"
"4075","TMEM184C"
"4076","PRMT9"
"4077","ARHGAP10"
"4078","NR3C2"
"4079","DCLK2"
"4080","LRBA"
"4081","RPS3A"
"4082","SH3D19"
"4083","RP11-372K14.2"
"4084","GATB"
"4085","RP11-73G16.2"
"4086","RP11-18H21.1"
"4087","FBXW7"
"4088","DKFZP434I0714"
"4089","TMEM154"
"4090","ARFIP1"
"4091","FHDC1"
"4092","TRIM2"
"4093","MND1"
"4094","KIAA0922"
"4095","TLR2"
"4096","RNF175"
"4097","PLRG1"
"4098","LRAT"
"4099","MAP9"
"4100","GUCY1A3"
"4101","GUCY1B3"
"4102","CTSO"
"4103","PDGFC"
"4104","GLRB"
"4105","FAM198B"
"4106","RP11-597D13.9"
"4107","TMEM144"
"4108","RXFP1"
"4109","C4orf46"
"4110","ETFDH"
"4111","PPID"
"4112","FNIP2"
"4113","RAPGEF2"
"4114","NAF1"
"4115","TMA16"
"4116","MARCH1"
"4117","RP11-218F10.3"
"4118","TRIM61"
"4119","FAM218A"
"4120","TRIM60"
"4121","TMEM192"
"4122","KLHL2"
"4123","MSMO1"
"4124","SPOCK3"
"4125","DDX60"
"4126","DDX60L"
"4127","PALLD"
"4128","CBR4"
"4129","SH3RF1"
"4130","NEK1"
"4131","CLCN3"
"4132","C4orf27"
"4133","MFAP3L"
"4134","AADAT"
"4135","GALNTL6"
"4136","RP11-10K16.1"
"4137","GALNT7"
"4138","HMGB2"
"4139","RP11-798M19.6"
"4140","SAP30"
"4141","SCRG1"
"4142","HAND2-AS1"
"4143","FBXO8"
"4144","CEP44"
"4145","HPGD"
"4146","GPM6A"
"4147","WDR17"
"4148","SPCS3"
"4149","NEIL3"
"4150","AGA"
"4151","RP11-130F10.1"
"4152","DCTD"
"4153","WWC2"
"4154","CDKN2AIP"
"4155","RP11-367N14.2"
"4156","ING2"
"4157","RWDD4"
"4158","TRAPPC11"
"4159","RP11-290F5.2"
"4160","RP11-290F5.1"
"4161","IRF2"
"4162","RP11-326I11.3"
"4163","CASP3"
"4164","PRIMPOL"
"4165","CENPU"
"4166","ACSL1"
"4167","MIR3945HG"
"4168","SLC25A4"
"4169","CFAP97"
"4170","SNX25"
"4171","LRP2BP"
"4172","ANKRD37"
"4173","UFSP2"
"4174","CCDC110"
"4175","RP11-279O9.4"
"4176","SORBS2"
"4177","TLR3"
"4178","FAM149A"
"4179","CYP4V2"
"4180","KLKB1"
"4181","FRG1"
"4182","PLEKHG4B"
"4183","CCDC127"
"4184","SDHA"
"4185","PDCD6"
"4186","EXOC3-AS1"
"4187","EXOC3"
"4188","PP7080"
"4189","CEP72"
"4190","TPPP"
"4191","BRD9"
"4192","TRIP13"
"4193","SLC12A7"
"4194","TERT"
"4195","CLPTM1L"
"4196","LPCAT1"
"4197","MRPL36"
"4198","NDUFS6"
"4199","LSINCT5"
"4200","IRX1"
"4201","ICE1"
"4202","MED10"
"4203","NSUN2"
"4204","SRD5A1"
"4205","PAPD7"
"4206","MTRR"
"4207","FASTKD3"
"4208","MIR4458HG"
"4209","SEMA5A"
"4210","FAM173B"
"4211","CTD-2256P15.1"
"4212","CCT5"
"4213","CTD-2256P15.4"
"4214","CMBL"
"4215","CTD-2256P15.2"
"4216","MARCH6"
"4217","ROPN1L"
"4218","ANKRD33B"
"4219","DAP"
"4220","TRIO"
"4221","AC016549.1"
"4222","FAM105A"
"4223","CTD-2165H16.4"
"4224","OTULIN"
"4225","ANKH"
"4226","ZNF622"
"4227","FAM134B"
"4228","RP11-260E18.1"
"4229","MYO10"
"4230","BASP1"
"4231","CTD-2139B15.2"
"4232","RP11-321E2.3"
"4233","C5orf17"
"4234","DROSHA"
"4235","C5orf22"
"4236","PDZD2"
"4237","GOLPH3"
"4238","CTD-2186M15.3"
"4239","MTMR12"
"4240","ZFR"
"4241","SUB1"
"4242","NPR3"
"4243","CTD-2203K17.1"
"4244","TARS"
"4245","AMACR"
"4246","C1QTNF3"
"4247","RAI14"
"4248","CTD-2517O10.6"
"4249","RAD1"
"4250","BRIX1"
"4251","DNAJC21"
"4252","PRLR"
"4253","SPEF2"
"4254","IL7R"
"4255","CAPSL"
"4256","UGT3A2"
"4257","LMBRD2"
"4258","SKP2"
"4259","NADK2"
"4260","SLC1A3"
"4261","CTD-2353F22.1"
"4262","NIPBL"
"4263","C5orf42"
"4264","NUP155"
"4265","WDR70"
"4266","RICTOR"
"4267","FYB"
"4268","DAB2"
"4269","PTGER4"
"4270","TTC33"
"4271","PRKAA1"
"4272","RPL37"
"4273","CARD6"
"4274","OXCT1"
"4275","C5orf51"
"4276","FBXO4"
"4277","CCDC152"
"4278","SEPP1"
"4279","CTD-2201E18.5"
"4280","CTD-2035E11.3"
"4281","CTD-2035E11.4"
"4282","ANXA2R"
"4283","AC025171.1"
"4284","CTD-2035E11.5"
"4285","ZNF131"
"4286","HMGCS1"
"4287","CCL28"
"4288","C5orf28"
"4289","C5orf34"
"4290","PAIP1"
"4291","NNT-AS1"
"4292","NNT"
"4293","RP11-53O19.1"
"4294","MRPS30"
"4295","RP11-53O19.3"
"4296","EMB"
"4297","PARP8"
"4298","ITGA1"
"4299","PELO"
"4300","ITGA2"
"4301","MOCS2"
"4302","CTD-2366F13.1"
"4303","FST"
"4304","NDUFS4"
"4305","CTD-2081C10.7"
"4306","ARL15"
"4307","SNX18"
"4308","GZMK"
"4309","GZMA"
"4310","DHX29"
"4311","SKIV2L2"
"4312","PLPP1"
"4313","SLC38A9"
"4314","IL31RA"
"4315","IL6ST"
"4316","CTD-2031P19.5"
"4317","FLJ31104"
"4318","CTD-2227I18.1"
"4319","ANKRD55"
"4320","MAP3K1"
"4321","SETD9"
"4322","MIER3"
"4323","GPBP1"
"4324","PLK2"
"4325","GAPT"
"4326","RAB3C"
"4327","PDE4D"
"4328","PART1"
"4329","DEPDC1B"
"4330","ELOVL7"
"4331","RP11-231G3.1"
"4332","ERCC8"
"4333","NDUFAF2"
"4334","SMIM15"
"4335","ZSWIM6"
"4336","KIF2A"
"4337","DIMT1"
"4338","IPO11"
"4339","SREK1IP1"
"4340","CWC27"
"4341","RP11-307L14.2"
"4342","ADAMTS6"
"4343","CTD-2116N20.1"
"4344","CENPK"
"4345","PPWD1"
"4346","TRIM23"
"4347","TRAPPC13"
"4348","CTC-534A2.2"
"4349","SGTB"
"4350","NLN"
"4351","ERBB2IP"
"4352","SREK1"
"4353","MAST4"
"4354","MAST4-AS1"
"4355","CD180"
"4356","RP11-83M16.5"
"4357","PIK3R1"
"4358","SLC30A5"
"4359","CCNB1"
"4360","CENPH"
"4361","MRPS36"
"4362","CDK7"
"4363","CCDC125"
"4364","AK6"
"4365","TAF9"
"4366","RAD17"
"4367","MARVELD2"
"4368","OCLN"
"4369","GTF2H2C"
"4370","SMN2"
"4371","RP11-497H16.9"
"4372","SERF1A"
"4373","SMN1"
"4374","NAIP"
"4375","GTF2H2"
"4376","BDP1"
"4377","MCCC2"
"4378","MRPS27"
"4379","PTCD2"
"4380","ZNF366"
"4381","TNPO1"
"4382","FCHO2"
"4383","TMEM171"
"4384","RP11-79P5.9"
"4385","BTF3"
"4386","ANKRA2"
"4387","UTP15"
